MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
SSD;4194304;uint8_t;4194304;1;clock();1.602000e-03;1.602000e-03;2.618167e+15;0.000000e+00;0.000000e+00%;3.170000e-04;3.170000e-04;1.323124e+16;0.000000e+00;0.000000e+00%;
SSD;8388608;uint8_t;8388608;1;clock();3.250000e-03;3.250000e-03;2.581110e+15;0.000000e+00;0.000000e+00%;8.530000e-04;8.530000e-04;9.834242e+15;0.000000e+00;0.000000e+00%;
SSD;12582912;uint8_t;12582912;1;clock();4.887000e-03;4.887000e-03;2.574772e+15;0.000000e+00;0.000000e+00%;1.523000e-03;1.523000e-03;8.261925e+15;0.000000e+00;0.000000e+00%;
SSD;16777216;uint8_t;16777216;1;clock();6.536000e-03;6.536000e-03;2.566894e+15;0.000000e+00;0.000000e+00%;2.234000e-03;2.234000e-03;7.509944e+15;0.000000e+00;0.000000e+00%;
SSD;20971520;uint8_t;20971520;1;clock();8.220000e-03;8.220000e-03;2.551280e+15;0.000000e+00;0.000000e+00%;2.778000e-03;2.778000e-03;7.549143e+15;0.000000e+00;0.000000e+00%;
SSD;25165824;uint8_t;25165824;1;clock();1.010500e-02;1.010500e-02;2.490433e+15;0.000000e+00;0.000000e+00%;3.421000e-03;3.421000e-03;7.356277e+15;0.000000e+00;0.000000e+00%;
SSD;29360128;uint8_t;29360128;1;clock();1.137100e-02;1.137100e-02;2.582018e+15;0.000000e+00;0.000000e+00%;4.023000e-03;4.023000e-03;7.298068e+15;0.000000e+00;0.000000e+00%;
SSD;33554432;uint8_t;33554432;1;clock();1.322500e-02;1.322500e-02;2.537197e+15;0.000000e+00;0.000000e+00%;4.645000e-03;4.645000e-03;7.223774e+15;0.000000e+00;0.000000e+00%;
SSD;37748736;uint8_t;37748736;1;clock();1.466600e-02;1.466600e-02;2.573894e+15;0.000000e+00;0.000000e+00%;5.108000e-03;5.108000e-03;7.390121e+15;0.000000e+00;0.000000e+00%;
SSD;41943040;uint8_t;41943040;1;clock();1.624700e-02;1.624700e-02;2.581587e+15;0.000000e+00;0.000000e+00%;5.720000e-03;5.720000e-03;7.332699e+15;0.000000e+00;0.000000e+00%;
SSD;46137344;uint8_t;46137344;1;clock();1.809300e-02;1.809300e-02;2.550011e+15;0.000000e+00;0.000000e+00%;7.552000e-03;7.552000e-03;6.109288e+15;0.000000e+00;0.000000e+00%;
SSD;50331648;uint8_t;50331648;1;clock();1.965100e-02;1.965100e-02;2.561277e+15;0.000000e+00;0.000000e+00%;1.725900e-02;1.725900e-02;2.916255e+15;0.000000e+00;0.000000e+00%;
SSD;54525952;uint8_t;54525952;1;clock();2.117000e-02;2.117000e-02;2.575624e+15;0.000000e+00;0.000000e+00%;1.751300e-02;1.751300e-02;3.113456e+15;0.000000e+00;0.000000e+00%;
SSD;58720256;uint8_t;58720256;1;clock();2.278500e-02;2.278500e-02;2.577145e+15;0.000000e+00;0.000000e+00%;8.152000e-03;8.152000e-03;7.203172e+15;0.000000e+00;0.000000e+00%;
SSD;62914560;uint8_t;62914560;1;clock();2.458400e-02;2.458400e-02;2.559167e+15;0.000000e+00;0.000000e+00%;2.176700e-02;2.176700e-02;2.890364e+15;0.000000e+00;0.000000e+00%;
SSD;67108864;uint8_t;67108864;1;clock();2.606300e-02;2.606300e-02;2.574871e+15;0.000000e+00;0.000000e+00%;2.331400e-02;2.331400e-02;2.878479e+15;0.000000e+00;0.000000e+00%;
SSD;71303168;uint8_t;71303168;1;clock();2.780600e-02;2.780600e-02;2.564309e+15;0.000000e+00;0.000000e+00%;2.489800e-02;2.489800e-02;2.863811e+15;0.000000e+00;0.000000e+00%;
SSD;75497472;uint8_t;75497472;1;clock();2.929200e-02;2.929200e-02;2.577409e+15;0.000000e+00;0.000000e+00%;9.877000e-03;9.877000e-03;7.643766e+15;0.000000e+00;0.000000e+00%;
SSD;79691776;uint8_t;79691776;1;clock();3.083300e-02;3.083300e-02;2.584626e+15;0.000000e+00;0.000000e+00%;1.080400e-02;1.080400e-02;7.376136e+15;0.000000e+00;0.000000e+00%;
SSD;83886080;uint8_t;83886080;1;clock();3.279300e-02;3.279300e-02;2.558048e+15;0.000000e+00;0.000000e+00%;1.160900e-02;1.160900e-02;7.225952e+15;0.000000e+00;0.000000e+00%;
flash;4194304;uint8_t;4194304;1;clock();3.144000e-03;3.144000e-03;1.334066e+15;0.000000e+00;0.000000e+00%;1.200000e-05;1.200000e-05;3.495253e+17;0.000000e+00;0.000000e+00%;
flash;8388608;uint8_t;8388608;1;clock();5.195000e-03;5.195000e-03;1.614746e+15;0.000000e+00;0.000000e+00%;1.300000e-05;1.300000e-05;6.452775e+17;0.000000e+00;0.000000e+00%;
